ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:52:20, -0.020, -0.020, 6.256, 0.713, 95.685
1, 19:52:21, 0.000, -0.020, 6.245, 0.658, 135.994
2, 19:52:22, 0.020, -0.020, 6.263, 0.692, 69.405
3, 19:52:23, -0.020, 0.000, 6.231, 0.616, 79.868
4, 19:52:23, 0.000, 0.000, 6.277, 0.644, 101.985
5, 19:52:24, 0.020, 0.000, 6.253, 0.627, 102.924
6, 19:52:25, -0.020, 0.020, 6.258, 0.716, 86.316
7, 19:52:26, 0.000, 0.020, 6.267, 0.686, 83.195
8, 19:52:27, 0.020, 0.020, 6.227, 0.680, 97.538
